date,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) SPTR-ACPR : P8(388.23-397.66)",862491071325839,SSE/PW/SPTR,SEC(PW)DMC,388.23-397.66,Patrolman,1,388.23,397.66,19:01:06,22:58:09,03:43:32,19:00:00,05:00:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) CMA-MXN : P12(85.510-79.880)",862491071216061,SSE(PW)/FKG,SEC(PW)JTTN,85.510-79.880,Patrolman,2,85.510,79.880,21:13:33,22:59:19,01:45:27,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) BBGN-BLMR : P6(39.830-47.110)",862491071222192,SSE(PW)/FKG,SEC(PW)BBGN,39.830-47.110,Patrolman,2,39.830,47.110,22:16:42,22:22:55,00:06:13,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) BBGN-BLMR : P6(39.830-47.110)",862491071222192,SSE(PW)/FKG,SEC(PW)BBGN,39.830-47.110,Patrolman,3,39.830,47.110,01:04:28,01:46:54,00:42:26,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) BBGN-BLMR : P6(39.830-47.110)",862491071222192,SSE(PW)/FKG,SEC(PW)BBGN,39.830-47.110,Patrolman,1,39.830,47.110,20:55:54,20:59:12,00:03:18,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-BBGN : P7(54.41-47.11)",862491071192379,SSE(PW)/FKG,SEC(PW)JTTN,54.41-47.11,Patrolman,1,54.41,47.11,21:52:58,22:59:56,01:05:11,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P9(331.170-326.190)",862491071332926,SSE/PW/NLP(E),SEC/PW/NLP,331.170-326.190,Patrolman,2,331.170,326.190,19:00:41,21:59:02,02:24:35,19:00:00,04:30:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P10(331.170-335.500)",862491071223703,SSE/PW/NLP(E),SEC/PW/NLP,331.170-335.500,Patrolman,2,331.170,335.500,19:08:55,21:56:29,02:29:30,19:00:00,04:30:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P11(339.580-335.500)",862491071332827,SSE/PW/NLP(E),SEC/PW/NLP,339.580-335.500,Patrolman,3,339.580,335.500,19:10:56,21:30:38,02:16:15,19:00:00,04:30:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM-BDLN : P13(345.700-343.700)",862491071250862,SSE/PW/NLP(E),SEC/PW/NLP,345.700-343.700,Patrolman,1,345.700,343.700,19:07:05,21:58:48,02:50:28,19:00:00,04:30:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) NAM-NHK : P6(ST-131-493.200)",862491071262537,SSE(PW)/NAM,SEC(PW)NHK,ST-131,Patrolman,1,ST,131,21:10:24,22:59:58,01:48:06,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) SPK-BOJ : P10(470.250-462.830)",862491071209587,SSE(PW)/NAM,SEC(PW)SPK,470.250-462.830,Patrolman,1,470.250,462.830,21:02:01,22:59:04,01:03:42,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) BOJ-SPK : P11(456.300-462.830)",862491071291502,SSE(PW)/NAM,SEC(PW)SPK,456.300-462.830,Patrolman,1,456.300,462.830,21:09:21,22:59:28,01:47:15,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-NHK) DJG-NHK : P3(ST/136-503.55)",862491071328239,SSE(PW)/NAM,SEC(PW)NHK,ST/136-503.55,Patrolman,1,ST/136,503.55,19:47:08,22:58:17,03:07:45,19:00:00,06:00:00,13,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-NHK) NHK-NAM : P5(ST-133-493.2)",862491071246589,SSE(PW)/NAM,SEC(PW)SPK,ST-133,Patrolman,2,ST,133,20:40:25,22:59:00,02:06:12,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-NHK) NHK-NAM : P5(ST-133-493.2)",862491071246589,SSE(PW)/NAM,SEC(PW)SPK,ST-133,Patrolman,1,ST,133,01:02:32,04:59:48,03:53:58,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST-109-MZA : P5(410.250-414.150)",862491071291940,SSE(PW)/SLGR/E,SEC(PW)AGI,410.250-414.150,Patrolman,2,410.250,414.150,21:13:52,22:58:48,01:44:00,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) MZA-ST112 : P6(414.150-417.650)",862491071193005,SSE(PW)/SLGR/E,SEC(PW)AGI,414.150-417.650,Patrolman,2,414.150,417.650,21:01:22,22:59:06,01:57:07,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST112-SLGR : P7(417.650-422.210)",862491071224248,SSE(PW)/SLGR/E,SEC(PW)AGI,417.650-422.210,Patrolman,1,417.650,422.210,21:03:10,22:58:18,01:52:49,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) NAM-BFD : P7(ST /131-483.12)",862491071250185,SSE(PW)/NAM,SEC(PW)SPK,"ST /131-483.12",Patrolman,1,"ST /131",483.12,20:37:16,22:59:07,02:14:10,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) NAM-BFD : P7(ST /131-483.12)",862491071250185,SSE(PW)/NAM,SEC(PW)SPK,"ST /131-483.12",Patrolman,2,"ST /131",483.12,01:06:05,04:59:59,03:16:11,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MXN (Sec1-TTB) FKG-KXL : P1(329.980-334.510)",862491071250789,SSE(PW)/MXN,JE(PW)TTB,329.980-334.510,Patrolman,1,329.980,334.510,22:01:35,22:59:44,00:58:09,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071307779,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,1,0.000,0.000,07:44:25,12:45:53,02:42:09,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071307779,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,4,0.000,0.000,01:00:02,01:32:39,00:32:37,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071307779,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,3,0.000,0.000,05:56:31,05:59:43,00:03:12,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071307779,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,2,0.000,0.000,15:08:23,20:48:55,05:10:45,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MXN (Sec1-TTB) KXL-TTB : P3(339.040-347.350)",862491071307571,SSE(PW)/MXN,JE(PW)TTB,339.040-347.350,Patrolman,1,339.040,347.350,21:31:30,22:59:37,01:27:48,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-LXA) SLGR-MUJN : P8(422.21-426.38)",862491071307613,SSE(PW)/SLGR/E,SEC(PW)AGI,422.21-426.38,Patrolman,1,422.21,426.38,21:04:41,22:31:50,01:26:13,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-LXA) SLGR-MUJN : P8(422.21-426.38)",862491071307613,SSE(PW)/SLGR/E,SEC(PW)AGI,422.21-426.38,Patrolman,2,422.21,426.38,06:00:02,15:59:48,09:54:54,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MXN (Sec1-TTB) TTB-MXN : P6(362.210-368.340)",862491071307670,SSE(PW)/MXN,SEC(PW)MXN/Sec,362.210-368.340,Patrolman,1,362.210,368.340,21:06:51,22:59:58,00:59:12,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST117-ST118 : P10(430.55-434.35)",862491071201915,SSE(PW)/SLGR/E,SEC(PW)AGI,430.55-434.35,Patrolman,2,430.55,434.35,01:02:01,01:54:18,00:52:17,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST117-ST118 : P10(430.55-434.35)",862491071201915,SSE(PW)/SLGR/E,SEC(PW)AGI,430.55-434.35,Patrolman,1,430.55,434.35,21:13:43,22:58:50,01:44:48,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071250516,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,1,0.000,0.000,01:00:50,02:59:38,01:54:52,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W(Sec1-MRHT) SRTN-MRHT:P4(30.8-23.8)",862491071329740,SSE(PW)/SLGR/W,SEC(PW)SRTN,30.8-23.8,Patrolman,1,30.8,23.8,21:13:22,22:56:53,00:48:31,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SLGR-SRTN : P1(0-7.9)",862491071224099,SSE(PW)/SLGR/W,SEC(PW)SRTN,0-7.9,Patrolman,1,0,7.9,20:21:01,22:59:57,02:31:14,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SLGR-SRTN : P1(0-7.9)",862491071224099,SSE(PW)/SLGR/W,SEC(PW)SRTN,0-7.9,Patrolman,2,0,7.9,01:00:15,02:59:46,01:48:44,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P6(37.9-45)",862491071328676,SSE(PW)/SLGR/W,SEC(PW)MRHT,37.9-45,Patrolman,2,37.9,45,01:05:48,02:59:45,01:50:27,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P6(37.9-45)",862491071328676,SSE(PW)/SLGR/W,SEC(PW)MRHT,37.9-45,Patrolman,1,37.9,45,20:36:11,22:59:34,02:16:00,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) Stock :(0.000-0.000)",862491071312639,SSE(PW)/SLGR/W,SEC(PW)MRHT,0.000-0.000,Patrolman,1,0.000,0.000,01:00:16,22:59:56,21:30:11,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P5(30.8-37.9)",862491071312423,SSE(PW)/SLGR/W,SEC(PW)MRHT,30.8-37.9,Patrolman,1,30.8,37.9,19:23:51,22:49:37,03:22:36,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SRTN-MRHT : P3(15.800-23.800)",862491071213381,SSE(PW)/SLGR/W,SEC(PW)MRHT,15.800-23.800,Patrolman,1,15.800,23.800,19:25:14,22:59:47,03:32:59,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SRTN-MRHT : P3(15.800-23.800)",862491071213381,SSE(PW)/SLGR/W,SEC(PW)MRHT,15.800-23.800,Patrolman,2,15.800,23.800,01:02:52,09:59:29,08:49:07,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MRG (Sec1-MJN) DBY-PWI : P5(25.210-32.000)",862491071209454,SSE(PW)/MRG,JE(PW)MRG/Sec,25.210-32.000,Patrolman,3,25.210,32.000,19:04:41,22:59:46,03:53:50,19:00:00,04:30:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MXN (Sec1-MXN) NCH-SLX : P11(385.44-390.76)",862491071307688,SSE(PW)/MXN,SEC(PW)MXN/Sec,385.44-390.76,Patrolman,1,385.44,390.76,21:07:58,22:59:53,01:51:18,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Stock/SSE/PWI/MRG (Sec1-MJN) -- : Stock(---)",862491071184632,SSE(PW)/MRG,SEC(PW)MJN,-,Stock,1,,,01:00:00,04:59:31,03:55:56,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Stock/SSE/PWI/MRG (Sec1-MJN) -- : Stock(---)",862491071184632,SSE(PW)/MRG,SEC(PW)MJN,-,Stock,2,,,19:02:22,20:53:13,01:49:03,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) BBNB-SPTR : P7(384.9-388.23)",862491071213753,SSE/PW/SPTR,SEC(PW)DMC,384.9-388.23,Patrolman,1,384.9,388.23,01:01:16,22:59:52,21:38:27,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MRG (Sec1-MJN) DBY-BGPI : P4(25.21-19.4)",862491071273385,SSE(PW)/MRG,SEC(PW)MJN,25.21-19.4,Patrolman,2,25.21,19.4,19:16:16,20:59:47,01:41:33,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MRG (Sec1-MJN) DBY-BGPI : P4(25.21-19.4)",862491071273385,SSE(PW)/MRG,SEC(PW)MJN,25.21-19.4,Patrolman,1,25.21,19.4,01:00:08,03:51:55,02:44:48,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MXN (Sec1-TTB) SLX-AGI : P12(390.760-396.200)",862491071332942,SSE(PW)/MXN,SEC(PW)MXN/Sec,390.760-396.200,Patrolman,1,390.760,396.200,21:05:33,21:58:55,00:53:22,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) DIPA-JIZ : P10(407.55-416.03)",862491071272916,SSE/PW/SPTR,SEC(PW)DMC,407.55-416.03,Patrolman,2,407.55,416.03,01:00:36,05:59:51,04:49:50,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) DIPA-JIZ : P10(407.55-416.03)",862491071272916,SSE/PW/SPTR,SEC(PW)DMC,407.55-416.03,Patrolman,1,407.55,416.03,18:55:42,22:59:52,03:53:20,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) SOB:NLP : P1(295.82-290.65)",862491071273047,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,1,,,01:00:02,22:58:26,21:34:15,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Stock/SSE/PWI/Stock (Sec1-Stock)  :(-)",862491071273419,"Sr DEN Cord",Div-Stock,-,Stock,2,,,01:00:29,04:59:43,03:23:44,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Stock/SSE/PWI/Stock (Sec1-Stock)  :(-)",862491071273419,"Sr DEN Cord",Div-Stock,-,Stock,1,,,21:12:12,22:59:43,01:44:51,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) JKY-LMY : P13(441.97-432.67)",862491071307795,SSE/PW/SPTR,SEC(PW)DMC,441.97-432.67,Patrolman,1,441.97,432.67,19:05:13,21:59:57,02:49:53,19:00:00,06:00:00,13,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) GLGT-NMGY : P2(7.080-15.120)",862491071279366,SSE(PW)/FKG,SEC(PW)BBGN,7.080-15.120,Patrolman,1,7.080,15.120,21:00:30,22:55:25,01:47:49,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-NTSK) NTSK-SPGN : P7(0-3.49)",860103069823400,SSE(PW)/PNT,SEC(PW)NTSK,0-3.49,Patrolman,1,0,3.49,03:00:23,04:59:48,01:59:06,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-NTSK) NTSK-SPGN : P7(0-3.49)",860103069823400,SSE(PW)/PNT,SEC(PW)NTSK,0-3.49,Patrolman,2,0,3.49,20:47:28,22:58:56,02:09:55,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI:BGND : P5(313.5-308.8)",860103069877802,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,1,,,01:00:35,22:30:07,19:15:47,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI:BGND : P6(313.5-317.6)",860103069735943,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,2,,,06:42:34,22:57:36,11:31:44,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI:BGND : P6(313.5-317.6)",860103069735943,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,1,,,01:00:02,03:58:08,02:54:59,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) NLP:LBI : P3(304.27-300.2)",860103069877729,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,2,,,18:59:42,21:59:48,02:51:44,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) NLP:LBI : P3(304.27-300.2)",860103069877729,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,1,,,01:17:27,03:57:31,02:34:36,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM:BDLN : P12(339.580-343.700)",860103069792860,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,1,,,01:38:42,01:39:21,00:00:39,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM:BDLN : P12(339.580-343.700)",860103069792860,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,2,,,01:00:48,22:59:42,21:27:39,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BDLN:DMC : P17(359.350-356.610)",862491071219909,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,2,,,02:12:32,03:59:44,01:35:12,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) NLP:LBI : P2(295.82-300.2)",860103069877703,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,1,,,13:25:16,16:58:08,03:27:17,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) NLP:LBI : P2(295.82-300.2)",860103069877703,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,2,,,01:18:31,04:59:43,03:38:49,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM:BDLN : P14(345.7-348.5)",862491071206708,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,1,,,19:09:06,21:07:51,01:56:43,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM:BDLN : P14(345.7-348.5)",862491071206708,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,3,,,01:08:31,09:53:08,05:06:15,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM:BDLN : P14(345.7-348.5)",862491071206708,SSE/PW/NLP(E),SEC/PW/NLP,-,Patrolman,2,,,01:59:41,01:59:41,00:00:00,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) NSBG-BBNB : P5(39.500-46.300)",862491071261174,SSE(PW)/DBRG,SEC(PW)TNGN,39.500-46.300,Patrolman,2,39.500,46.300,18:57:24,22:59:53,03:56:03,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) NSBG-BBNB : P5(39.500-46.300)",862491071261174,SSE(PW)/DBRG,SEC(PW)TNGN,39.500-46.300,Patrolman,1,39.500,46.300,01:00:46,04:59:19,03:51:18,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) KOWN-LPK : P10(11.800-21.800)",862491071326076,SSE(PW)/DBRG,SEC(PW)TNGN,11.800-21.800,Patrolman,1,11.800,21.800,19:37:24,22:59:34,02:56:35,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) KOWN-LPK : P10(11.800-21.800)",862491071326076,SSE(PW)/DBRG,SEC(PW)TNGN,11.800-21.800,Patrolman,2,11.800,21.800,01:00:05,06:40:39,05:37:14,00:00:00,00:00:00,00:00:00,"Duty Not Completed"
