string,string,string,string,string,string,string,string,string,string,string,string
11-11-2024,862491071251167,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) BBNB:SBGN : P6(381.72-384.97)",-,SSE/PW/SPTR,SEC(PW)DMC,Patrolman,"2024-11-11 20:02:33","2024-11-12 04:56:49","9 km",0,0
11-11-2024,862491071325839,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) SPTR-ACPR : P8(388.23-397.66)",388.23-397.66,SSE/PW/SPTR,SEC(PW)DMC,Patrolman,"2024-11-11 20:05:37","2024-11-12 05:26:11","15 km",0,0
11-11-2024,862491071247363,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) ACPR-DIPA : P9(397.66-407.55)",397.66-407.55,SSE/PW/SPTR,SEC(PW)DMC,Patrolman,"2024-11-11 20:00:01","2024-11-12 07:16:42","16 km",0,0
11-11-2024,862491071327322,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) JIZ - T Q M : P11(416.03-424.63)",416.03-424.63,SSE/PW/SPTR,SEC(PW)DMC,Patrolman,"2024-11-11 20:00:03","2024-11-12 05:00:55","10 km",0,0
11-11-2024,862491071216061,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) CMA-MXN : P12(85.510-79.880)",85.510-79.880,SSE(PW)/FKG,SEC(PW)JTTN,Patrolman,"2024-11-11 21:13:33","2024-11-12 04:10:51","8 km",0,0
11-11-2024,862491071272163,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI-BGND : P4(304.270-308.800)",304.270-308.800,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:17","2024-11-12 08:59:48","16 km",0,0
11-11-2024,862491071283061,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI-BGND : P7(321.190-317.600)",321.190-317.600,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:17","2024-11-12 04:37:40","13 km",0,0
11-11-2024,862491071222192,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) BBGN-BLMR : P6(39.830-47.110)",39.830-47.110,SSE(PW)/FKG,SEC(PW)BBGN,Patrolman,"2024-11-11 22:16:42","2024-11-12 04:02:27","4 km",0,0
11-11-2024,862491071192379,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-BBGN : P7(54.41-47.11)",54.41-47.11,SSE(PW)/FKG,SEC(PW)JTTN,Patrolman,"2024-11-11 21:52:58","2024-11-12 02:10:49","0 km",0,0
11-11-2024,862491071221459,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P8(321.190-326.190)",321.190-326.190,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:50","2024-11-12 04:35:29","12 km",0,0
11-11-2024,862491071332926,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P9(331.170-326.190)",331.170-326.190,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:13","2024-11-12 04:24:13","6 km",0,0
11-11-2024,862491071223703,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P10(331.170-335.500)",331.170-335.500,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:09","2024-11-12 03:47:28","12 km",0,0
11-11-2024,862491071332827,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P11(339.580-335.500)",339.580-335.500,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:10","2024-11-12 05:06:47","13 km",0,0
11-11-2024,862491071250862,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM-BDLN : P13(345.700-343.700)",345.700-343.700,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:03","2024-11-12 01:04:57","4 km",0,0
11-11-2024,862491071208225,"Patrolman/SSE/PWI/NAM (Sec1-SPK) SPGN-CGF-DJG : P1(520/930-514/640)",520/930-514/640,SSE(PW)/NAM,SEC(PW)NHK,Patrolman,"2024-11-11 20:59:39","2024-11-12 05:12:57","13 km",0,0
11-11-2024,862491071191058,"Patrolman/SSE/PWI/NAM (Sec1-SPK) CGF-DJG : P2(508/580 ST-136-512/320)","508/580 ST-136",SSE(PW)/NAM,SEC(PW)NHK,Patrolman,"2024-11-11 20:53:33","2024-11-12 05:04:39","14 km",0,0
11-11-2024,862491071262537,"Patrolman/SSE/PWI/NAM (Sec1-SPK) NAM-NHK : P6(ST-131-493.200)",ST-131,SSE(PW)/NAM,SEC(PW)NHK,Patrolman,"2024-11-11 21:10:24","2024-11-12 05:25:31","12 km",0,0
11-11-2024,862491071222861,"Patrolman/SSE/PWI/NAM (Sec1-SPK) BFD-SPK : P8(483.120-476.650)",483.120-476.650,SSE(PW)/NAM,SEC(PW)SPK,Patrolman,"2024-11-11 20:01:48","2024-11-12 02:41:11","8 km",0,0
11-11-2024,862491071224073,"Patrolman/SSE/PWI/NAM (Sec1-SPK) SPK-BFD : P9(470.250-476.650)",470.250-476.650,SSE(PW)/NAM,SEC(PW)SPK,Patrolman,"2024-11-11 20:52:14","2024-11-12 04:31:48","12 km",0,0
11-11-2024,862491071209587,"Patrolman/SSE/PWI/NAM (Sec1-SPK) SPK-BOJ : P10(470.250-462.830)",470.250-462.830,SSE(PW)/NAM,SEC(PW)SPK,Patrolman,"2024-11-11 20:58:08","2024-11-12 02:06:14","11 km",0,0
11-11-2024,862491071291502,"Patrolman/SSE/PWI/NAM (Sec1-SPK) BOJ-SPK : P11(456.300-462.830)",456.300-462.830,SSE(PW)/NAM,SEC(PW)SPK,Patrolman,"2024-11-11 21:09:21","2024-11-12 05:05:02","13 km",0,0
11-11-2024,862491071307431,"Patrolman/SSE/PWI/NAM (Sec1-NHK) NHK-DJG : P4(ST/133-503.55)",ST/133-503.55,SSE(PW)/NAM,SEC(PW)NHK,Patrolman,"2024-11-11 21:08:02","2024-11-12 08:01:06","20 km",0,0
11-11-2024,862491071328239,"Patrolman/SSE/PWI/NAM (Sec1-NHK) DJG-NHK : P3(ST/136-503.55)",ST/136-503.55,SSE(PW)/NAM,SEC(PW)NHK,Patrolman,"2024-11-11 20:02:19","2024-11-12 05:07:17","20 km",0,0
11-11-2024,862491071246589,"Patrolman/SSE/PWI/NAM (Sec1-NHK) NHK-NAM : P5(ST-133-493.2)",ST-133,SSE(PW)/NAM,SEC(PW)SPK,Patrolman,"2024-11-11 20:40:25","2024-11-12 08:31:24","12 km",0,0
11-11-2024,862491071291940,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST-109-MZA : P5(410.250-414.150)",410.250-414.150,SSE(PW)/SLGR/E,SEC(PW)AGI,Patrolman,"2024-11-11 21:13:52","2024-11-12 04:40:26","5 km",0,0
11-11-2024,862491071193005,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) MZA-ST112 : P6(414.150-417.650)",414.150-417.650,SSE(PW)/SLGR/E,SEC(PW)AGI,Patrolman,"2024-11-11 21:01:22","2024-11-12 05:01:23","7 km",0,0
11-11-2024,862491071224248,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST112-SLGR : P7(417.650-422.210)",417.650-422.210,SSE(PW)/SLGR/E,SEC(PW)AGI,Patrolman,"2024-11-11 21:03:10","2024-11-12 05:01:55","11 km",0,0
11-11-2024,862491071250185,"Patrolman/SSE/PWI/NAM (Sec1-SPK) NAM-BFD : P7(ST /131-483.12)","ST /131-483.12",SSE(PW)/NAM,SEC(PW)SPK,Patrolman,"2024-11-11 20:37:16","2024-11-12 01:21:49","11 km",0,0
11-11-2024,862491071250789,"Patrolman/SSE/PWI/MXN (Sec1-TTB) FKG-KXL : P1(329.980-334.510)",329.980-334.510,SSE(PW)/MXN,JE(PW)TTB,Patrolman,"2024-11-11 21:17:32","2024-11-12 04:56:00","15 km",0,0
11-11-2024,862491071307779,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",0.000-0.000,SSE(PW)/SLGR/E,SEC(PW)AGI,Patrolman,"2024-11-11 20:01:48","2024-11-12 04:34:22","2 km",0,0
11-11-2024,862491071307571,"Patrolman/SSE/PWI/MXN (Sec1-TTB) KXL-TTB : P3(339.040-347.350)",339.040-347.350,SSE(PW)/MXN,JE(PW)TTB,Patrolman,"2024-11-11 21:31:30","2024-11-12 05:54:38","6 km",0,0
11-11-2024,862491071307613,"Patrolman/SSE/PWI/SLGR/E (Sec1-LXA) SLGR-MUJN : P8(422.21-426.38)",422.21-426.38,SSE(PW)/SLGR/E,SEC(PW)AGI,Patrolman,"2024-11-11 21:04:41","2024-11-12 08:59:54","11 km",0,0
11-11-2024,862491071307670,"Patrolman/SSE/PWI/MXN (Sec1-TTB) TTB-MXN : P6(362.210-368.340)",362.210-368.340,SSE(PW)/MXN,SEC(PW)MXN/Sec,Patrolman,"2024-11-11 21:06:51","2024-11-12 05:26:38","7 km",0,0
11-11-2024,862491071201915,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST117-ST118 : P10(430.55-434.35)",430.55-434.35,SSE(PW)/SLGR/E,SEC(PW)AGI,Patrolman,"2024-11-11 21:13:43","2024-11-12 02:18:02","8 km",0,0
11-11-2024,862491071267858,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) TQM:LMY : P12(424.69-432.67)",-,SSE/PW/SPTR,SEC(PW)DMC,Patrolman,"2024-11-11 20:00:23","2024-11-12 08:57:38","13 km",0,0
11-11-2024,862491071191264,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P7(52.300-45.00)",52.300-45.00,SSE(PW)/SLGR/W,SEC(PW)MRHT,Patrolman,"2024-11-11 20:03:02","2024-11-12 08:59:34","16 km",0,0
11-11-2024,862491071329740,"Patrolman/SSE/PWI/SLGR/W(Sec1-MRHT) SRTN-MRHT:P4(30.8-23.8)",30.8-23.8,SSE(PW)/SLGR/W,SEC(PW)SRTN,Patrolman,"2024-11-11 21:13:22","2024-11-12 01:12:22","2 km",0,0
11-11-2024,862491071224099,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SLGR-SRTN : P1(0-7.9)",0-7.9,SSE(PW)/SLGR/W,SEC(PW)SRTN,Patrolman,"2024-11-11 20:21:01","2024-11-12 01:19:35","9 km",0,0
11-11-2024,862491071328676,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P6(37.9-45)",37.9-45,SSE(PW)/SLGR/W,SEC(PW)MRHT,Patrolman,"2024-11-11 20:36:11","2024-11-12 04:07:46","15 km",0,0
11-11-2024,862491071312639,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) Stock :(0.000-0.000)",0.000-0.000,SSE(PW)/SLGR/W,SEC(PW)MRHT,Patrolman,"2024-11-11 20:00:04","2024-11-12 07:41:27","23 km",0,0
11-11-2024,862491071312423,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P5(30.8-37.9)",30.8-37.9,SSE(PW)/SLGR/W,SEC(PW)MRHT,Patrolman,"2024-11-11 20:00:20","2024-11-12 02:41:46","11 km",0,0
11-11-2024,862491071213381,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SRTN-MRHT : P3(15.800-23.800)",15.800-23.800,SSE(PW)/SLGR/W,SEC(PW)MRHT,Patrolman,"2024-11-11 20:00:11","2024-11-12 08:55:46","17 km",0,0
11-11-2024,862491071184152,"Patrolman/SSE/PWI/MRG (Sec1-MJN) TII-AND : P2(13.320-7.200)",13.320-7.200,SSE(PW)/MRG,SEC(PW)MJN,Patrolman,"2024-11-11 20:00:36","2024-11-12 02:51:30","11 km",0,0
11-11-2024,862491071209454,"Patrolman/SSE/PWI/MRG (Sec1-MJN) DBY-PWI : P5(25.210-32.000)",25.210-32.000,SSE(PW)/MRG,JE(PW)MRG/Sec,Patrolman,"2024-11-11 20:00:02","2024-11-12 08:08:34","10 km",0,0
11-11-2024,862491071319816,"Patrolman/SSE/PWI/MXN (Sec1-TTB) NCH-SLX : P10(382.040-385.440)",382.040-385.440,SSE(PW)/MXN,SEC(PW)MXN/Sec,Patrolman,"2024-11-11 21:04:50","2024-11-12 05:30:09","17 km",0,0
11-11-2024,862491071307688,"Patrolman/SSE/PWI/MXN (Sec1-MXN) NCH-SLX : P11(385.44-390.76)",385.44-390.76,SSE(PW)/MXN,SEC(PW)MXN/Sec,Patrolman,"2024-11-11 21:07:58","2024-11-12 05:15:37","13 km",0,0
11-11-2024,862491071213753,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) BBNB-SPTR : P7(384.9-388.23)",384.9-388.23,SSE/PW/SPTR,SEC(PW)DMC,Patrolman,"2024-11-11 20:00:00","2024-11-12 08:59:40","12 km",0,0
11-11-2024,862491071272916,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) DIPA-JIZ : P10(407.55-416.03)",407.55-416.03,SSE/PW/SPTR,SEC(PW)DMC,Patrolman,"2024-11-11 20:00:00","2024-11-12 08:59:05","17 km",0,0
11-11-2024,862491071273047,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) SOB:NLP : P1(295.82-290.65)",-,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:38","2024-11-12 08:59:35","20 km",0,0
11-11-2024,862491071307795,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) JKY-LMY : P13(441.97-432.67)",441.97-432.67,SSE/PW/SPTR,SEC(PW)DMC,Patrolman,"2024-11-11 20:02:15","2024-11-12 07:14:05","16 km",0,0
11-11-2024,862491071279366,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) GLGT-NMGY : P2(7.080-15.120)",7.080-15.120,SSE(PW)/FKG,SEC(PW)BBGN,Patrolman,"2024-11-11 20:55:54","2024-11-12 08:55:16","18 km",0,0
11-11-2024,860103069823400,"Patrolman/SSE/PWI/PNT (Sec1-NTSK) NTSK-SPGN : P7(0-3.49)",0-3.49,SSE(PW)/PNT,SEC(PW)NTSK,Patrolman,"2024-11-11 20:47:28","2024-11-12 04:58:54","16 km",0,0
11-11-2024,860103069877802,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI:BGND : P5(313.5-308.8)",-,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:07:12","2024-11-12 08:59:40","16 km",0,0
11-11-2024,860103069735943,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI:BGND : P6(313.5-317.6)",-,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:01:05","2024-11-12 04:28:16","15 km",0,0
11-11-2024,860103069877729,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) NLP:LBI : P3(304.27-300.2)",-,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:02:15","2024-11-12 04:30:36","13 km",0,0
11-11-2024,860103069792860,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM:BDLN : P12(339.580-343.700)",-,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:07","2024-11-12 08:59:49","11 km",0,0
11-11-2024,862491071219909,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BDLN:DMC : P17(359.350-356.610)",-,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:13","2024-11-12 04:11:04","9 km",0,0
11-11-2024,860103069877703,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) NLP:LBI : P2(295.82-300.2)",-,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 22:54:00","2024-11-12 04:14:38","10 km",0,0
11-11-2024,862491071206708,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM:BDLN : P14(345.7-348.5)",-,SSE/PW/NLP(E),SEC/PW/NLP,Patrolman,"2024-11-11 20:00:11","2024-11-12 04:27:55","11 km",0,0
11-11-2024,862491071261174,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) NSBG-BBNB : P5(39.500-46.300)",39.500-46.300,SSE(PW)/DBRG,SEC(PW)TNGN,Patrolman,"2024-11-11 20:00:17","2024-11-12 05:09:45","12 km",0,0
11-11-2024,862491071211047,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) JYK:MZS : P14(441.97-449.6)",-,SSE/PW/SPTR,SEC(PW)DMC,Patrolman,"2024-11-11 20:00:26","2024-11-12 08:59:54","14 km",0,0
