date,string,string,string,string,string,string,string,string,string,string,string,string,string
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-BBGN : P7(54.41-47.11)",862491071192379,SSE(PW)/FKG,SEC(PW)JTTN,54.41-47.11,Patrolman,1,54.41,47.11,"0 km",0.0,"0 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P8(321.190-326.190)",862491071221459,SSE/PW/NLP(E),SEC/PW/NLP,321.190-326.190,Patrolman,1,321.190,326.190,"8.4 km",20.000,"11.37 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P8(321.190-326.190)",862491071221459,SSE/PW/NLP(E),SEC/PW/NLP,321.190-326.190,Patrolman,2,321.190,326.190,"6.6 km",20.000,"13.26 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P9(331.170-326.190)",862491071332926,SSE/PW/NLP(E),SEC/PW/NLP,331.170-326.190,Patrolman,2,331.170,326.190,"4.96 km",19.920,"14.49 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P9(331.170-326.190)",862491071332926,SSE/PW/NLP(E),SEC/PW/NLP,331.170-326.190,Patrolman,1,331.170,326.190,"4.35 km",19.920,"14.9 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P10(331.170-335.500)",862491071223703,SSE/PW/NLP(E),SEC/PW/NLP,331.170-335.500,Patrolman,3,331.170,335.500,"6.79 km",17.320,"10.45 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P10(331.170-335.500)",862491071223703,SSE/PW/NLP(E),SEC/PW/NLP,331.170-335.500,Patrolman,4,331.170,335.500,"0 km",17.320,"17.32 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P10(331.170-335.500)",862491071223703,SSE/PW/NLP(E),SEC/PW/NLP,331.170-335.500,Patrolman,2,331.170,335.500,"7.52 km",17.320,"8.99 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P10(331.170-335.500)",862491071223703,SSE/PW/NLP(E),SEC/PW/NLP,331.170-335.500,Patrolman,1,331.170,335.500,"0 km",17.320,"17.32 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P11(339.580-335.500)",862491071332827,SSE/PW/NLP(E),SEC/PW/NLP,339.580-335.500,Patrolman,3,339.580,335.500,"8 km",16.320,"8.08 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) BGND-GOM : P11(339.580-335.500)",862491071332827,SSE/PW/NLP(E),SEC/PW/NLP,339.580-335.500,Patrolman,1,339.580,335.500,"0.09 km",16.320,"16.17 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM-BDLN : P13(345.700-343.700)",862491071250862,SSE/PW/NLP(E),SEC/PW/NLP,345.700-343.700,Patrolman,2,345.700,343.700,"5.42 km",8.000,"2.58 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) GOM-BDLN : P13(345.700-343.700)",862491071250862,SSE/PW/NLP(E),SEC/PW/NLP,345.700-343.700,Patrolman,1,345.700,343.700,"5.39 km",8.000,"2.55 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) SPGN-CGF-DJG : P1(520/930-514/640)",862491071208225,SSE(PW)/NAM,SEC(PW)NHK,520/930-514/640,Patrolman,1,520/930,514/640,"6.09 km",6.650,"0.14 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) SPGN-CGF-DJG : P1(520/930-514/640)",862491071208225,SSE(PW)/NAM,SEC(PW)NHK,520/930-514/640,Patrolman,2,520/930,514/640,"5.64 km",6.650,"0.88 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) CGF-DJG : P2(508/580 ST-136-512/320)",862491071191058,SSE(PW)/NAM,SEC(PW)NHK,"508/580 ST-136",Patrolman,1,"508/580 ST",136,"4.32 km",5.930,"1.54 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) BFD-SPK : P8(483.120-476.650)",862491071222861,SSE(PW)/NAM,SEC(PW)SPK,483.120-476.650,Patrolman,1,483.120,476.650,"5.12 km",6.470,"1.19 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) SPK-BFD : P9(470.250-476.650)",862491071224073,SSE(PW)/NAM,SEC(PW)SPK,470.250-476.650,Patrolman,2,470.250,476.650,"0 km",6.400,"6.4 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) SPK-BOJ : P10(470.250-462.830)",862491071209587,SSE(PW)/NAM,SEC(PW)SPK,470.250-462.830,Patrolman,1,470.250,462.830,"1.16 km",7.420,"3.09 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) BOJ-SPK : P11(456.300-462.830)",862491071291502,SSE(PW)/NAM,SEC(PW)SPK,456.300-462.830,Patrolman,2,456.300,462.830,"3.39 km",6.530,"3.14 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) BOJ-SPK : P11(456.300-462.830)",862491071291502,SSE(PW)/NAM,SEC(PW)SPK,456.300-462.830,Patrolman,1,456.300,462.830,"5.25 km",6.530,"1.12 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-NHK) NHK-DJG : P4(ST/133-503.55)",862491071307431,SSE(PW)/NAM,SEC(PW)NHK,ST/133-503.55,Patrolman,1,ST/133,503.55,"8.18 km",18.000,"9.58 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-NHK) DJG-NHK : P3(ST/136-503.55)",862491071328239,SSE(PW)/NAM,SEC(PW)NHK,ST/136-503.55,Patrolman,1,ST/136,503.55,"5.64 km",18.000,"12.31 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-NHK) DJG-NHK : P3(ST/136-503.55)",862491071328239,SSE(PW)/NAM,SEC(PW)NHK,ST/136-503.55,Patrolman,2,ST/136,503.55,"9.57 km",18.000,"7.84 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-NHK) NHK-NAM : P5(ST-133-493.2)",862491071246589,SSE(PW)/NAM,SEC(PW)SPK,ST-133,Patrolman,2,ST,133,"5.43 km",,"-5.73 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-NHK) NHK-NAM : P5(ST-133-493.2)",862491071246589,SSE(PW)/NAM,SEC(PW)SPK,ST-133,Patrolman,1,ST,133,"5.62 km",,"-5.77 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST-109-MZA : P5(410.250-414.150)",862491071291940,SSE(PW)/SLGR/E,SEC(PW)AGI,410.250-414.150,Patrolman,2,410.250,414.150,"2.46 km",6.580,"4.06 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST-109-MZA : P5(410.250-414.150)",862491071291940,SSE(PW)/SLGR/E,SEC(PW)AGI,410.250-414.150,Patrolman,1,410.250,414.150,"4.99 km",6.580,"1.51 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) MZA-ST112 : P6(414.150-417.650)",862491071193005,SSE(PW)/SLGR/E,SEC(PW)AGI,414.150-417.650,Patrolman,2,414.150,417.650,"3.64 km",6.700,"3.06 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) MZA-ST112 : P6(414.150-417.650)",862491071193005,SSE(PW)/SLGR/E,SEC(PW)AGI,414.150-417.650,Patrolman,1,414.150,417.650,"3.04 km",6.700,"3.62 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST112-SLGR : P7(417.650-422.210)",862491071224248,SSE(PW)/SLGR/E,SEC(PW)AGI,417.650-422.210,Patrolman,2,417.650,422.210,"0 km",9.020,"8.95 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST112-SLGR : P7(417.650-422.210)",862491071224248,SSE(PW)/SLGR/E,SEC(PW)AGI,417.650-422.210,Patrolman,1,417.650,422.210,"4.31 km",9.020,"4.56 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) NAM-BFD : P7(ST /131-483.12)",862491071250185,SSE(PW)/NAM,SEC(PW)SPK,"ST /131-483.12",Patrolman,1,"ST /131",483.12,"5.78 km",,"-6.03 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NAM (Sec1-SPK) NAM-BFD : P7(ST /131-483.12)",862491071250185,SSE(PW)/NAM,SEC(PW)SPK,"ST /131-483.12",Patrolman,2,"ST /131",483.12,"4.86 km",,"-5.34 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MXN (Sec1-TTB) FKG-KXL : P1(329.980-334.510)",862491071250789,SSE(PW)/MXN,JE(PW)TTB,329.980-334.510,Patrolman,1,329.980,334.510,"2.42 km",4.530,"2.11 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071307779,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,1,0.000,0.000,"0.09 km",,"-0.21 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071307779,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,4,0.000,0.000,"0.21 km",,"-0.21 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071307779,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,3,0.000,0.000,"0 km",0.0,"0 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071307779,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,2,0.000,0.000,"0.46 km",,"-0.58 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MXN (Sec1-TTB) KXL-TTB : P3(339.040-347.350)",862491071307571,SSE(PW)/MXN,JE(PW)TTB,339.040-347.350,Patrolman,1,339.040,347.350,"2.75 km",8.310,"5.56 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MXN (Sec1-TTB) KXL-TTB : P3(339.040-347.350)",862491071307571,SSE(PW)/MXN,JE(PW)TTB,339.040-347.350,Patrolman,2,339.040,347.350,"0 km",8.310,"8.31 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-LXA) SLGR-MUJN : P8(422.21-426.38)",862491071307613,SSE(PW)/SLGR/E,SEC(PW)AGI,422.21-426.38,Patrolman,1,422.21,426.38,"3.43 km",,"-3.56 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-LXA) SLGR-MUJN : P8(422.21-426.38)",862491071307613,SSE(PW)/SLGR/E,SEC(PW)AGI,422.21-426.38,Patrolman,2,422.21,426.38,"0 km",,"-1.94 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MXN (Sec1-TTB) TTB-MXN : P6(362.210-368.340)",862491071307670,SSE(PW)/MXN,SEC(PW)MXN/Sec,362.210-368.340,Patrolman,1,362.210,368.340,"3.34 km",6.130,"2.48 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST117-ST118 : P10(430.55-434.35)",862491071201915,SSE(PW)/SLGR/E,SEC(PW)AGI,430.55-434.35,Patrolman,2,430.55,434.35,"0.3 km",,"-0.3 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) ST117-ST118 : P10(430.55-434.35)",862491071201915,SSE(PW)/SLGR/E,SEC(PW)AGI,430.55-434.35,Patrolman,1,430.55,434.35,"3.82 km",,"-3.82 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/E (Sec1-AGI) Stock :(0.000-0.000)",862491071250516,SSE(PW)/SLGR/E,SEC(PW)AGI,0.000-0.000,Patrolman,1,0.000,0.000,"0.13 km",,"-0.23 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P7(52.300-45.00)",862491071191264,SSE(PW)/SLGR/W,SEC(PW)MRHT,52.300-45.00,Patrolman,1,52.300,45.00,"12.14 km",14.600,"1.76 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W(Sec1-MRHT) SRTN-MRHT:P4(30.8-23.8)",862491071329740,SSE(PW)/SLGR/W,SEC(PW)SRTN,30.8-23.8,Patrolman,1,30.8,23.8,"1.78 km",,"-1.78 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SLGR-SRTN : P1(0-7.9)",862491071224099,SSE(PW)/SLGR/W,SEC(PW)SRTN,0-7.9,Patrolman,1,0,7.9,"6.08 km",,"-6.08 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SLGR-SRTN : P1(0-7.9)",862491071224099,SSE(PW)/SLGR/W,SEC(PW)SRTN,0-7.9,Patrolman,2,0,7.9,"0 km",,"-0.06 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P6(37.9-45)",862491071328676,SSE(PW)/SLGR/W,SEC(PW)MRHT,37.9-45,Patrolman,2,37.9,45,"2.99 km",,"-2.99 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P6(37.9-45)",862491071328676,SSE(PW)/SLGR/W,SEC(PW)MRHT,37.9-45,Patrolman,1,37.9,45,"3.03 km",,"-3.03 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) Stock :(0.000-0.000)",862491071312639,SSE(PW)/SLGR/W,SEC(PW)MRHT,0.000-0.000,Patrolman,1,0.000,0.000,"29.97 km",,"-30.72 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-MRHT) SRTN-MRHT : P5(30.8-37.9)",862491071312423,SSE(PW)/SLGR/W,SEC(PW)MRHT,30.8-37.9,Patrolman,1,30.8,37.9,"5.06 km",,"-5.12 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SRTN-MRHT : P3(15.800-23.800)",862491071213381,SSE(PW)/SLGR/W,SEC(PW)MRHT,15.800-23.800,Patrolman,1,15.800,23.800,"7.95 km",,"-8.04 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SLGR/W (Sec1-SRTN) SRTN-MRHT : P3(15.800-23.800)",862491071213381,SSE(PW)/SLGR/W,SEC(PW)MRHT,15.800-23.800,Patrolman,2,15.800,23.800,"8.05 km",,"-8.39 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MRG (Sec1-MJN) TII-AND : P2(13.320-7.200)",862491071184152,SSE(PW)/MRG,SEC(PW)MJN,13.320-7.200,Patrolman,1,13.320,7.200,"6.85 km",12.240,"5.14 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/MRG (Sec1-MJN) MJN-AND : P1(1.000-7.200)",862491071307498,SSE(PW)/MRG,SEC(PW)MJN,1.000-7.200,Patrolman,1,1.000,7.200,"4.96 km",12.400,"7.29 km","Duty Not Completed"
